PLAYER,POS,TEAM,GP,GS,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%
James Harden,SG,HOU,19,19,36.8,38.9,10.7,24.1,44.6,4.9,13.9,35.5,12.5,14.4,86.5
Giannis Antetokounmpo,PF,MIL,21,21,31.9,30.8,11.4,20.2,56.5,1.5,4.9,30.4,6.5,11.1,58.4
Luka Doncic,SF,DAL,19,19,34.1,30.6,9.8,20.4,48.3,3.1,9.4,33,7.8,9.4,82.7
Kyrie Irving,PG,BKN,11,11,33.8,28.5,10.2,22.9,44.4,2.8,8.3,34.1,5.4,5.7,93.7
Trae Young,PG,ATL,20,20,34.4,28.2,9.3,20.4,45.7,3.4,8.7,38.5,6.2,7.3,85.6
Bradley Beal,SG,WAS,18,18,36.5,28,9.8,21.1,46.7,2.7,8,34,5.6,6.7,83.5
Damian Lillard,PG,POR,18,18,37,27.3,8.5,19,44.7,3.3,9,36.4,7.1,7.7,92
Anthony Davis,PF,LAL,19,19,34.6,26.1,9.1,18.9,47.9,1.2,3.4,34.4,6.8,7.8,87.2
Kawhi Leonard,SF,LAC,15,15,31.4,25.9,9.4,20.9,45,1.6,5.2,30.8,5.5,6.5,84.7
Karl-Anthony Towns,C,MIN,17,17,33.1,25.9,8.8,17.5,50.2,3.8,8.9,42.1,4.6,5.8,80.6
LeBron James,SF,LAL,20,20,34.8,25.6,9.9,19.8,50.1,2,5.8,34.5,3.8,5.6,68.1
Pascal Siakam,PF,TOR,19,19,36.8,25.6,9.6,20.5,47,2.5,6.5,39,3.8,4.7,81.1
Brandon Ingram,SF,NO,16,16,34.1,25.5,9.2,18.9,48.8,2.4,5.7,41.8,4.6,5.7,81.3
Andrew Wiggins,SF,MIN,16,16,34.9,24.8,9.4,20.4,46.2,2.2,6.6,34.3,3.7,5.2,70.2
Donovan Mitchell,SG,UTA,21,21,34.7,24.5,8.9,20.5,43.5,2.3,6.2,36.9,4.4,5.3,83
Devin Booker,SG,PHO,19,19,35.6,24.4,8.7,17.1,50.8,2.2,5.4,40.8,4.8,5.1,94.8
D'Angelo Russell,SG,GS,10,10,31.5,24.3,8.5,18.7,45.5,2.8,7.9,35.4,4.5,5.9,76.3
Paul George,SF,LAC,10,10,29.5,23.4,7.3,16.9,43.2,3.8,9.7,39.2,5,5.3,94.3
Joel Embiid,C,PHI,17,17,30.1,22.4,7.2,15.9,45.4,1.2,3.8,31.2,6.8,8.3,81.6
Zach LaVine,PG,CHI,21,21,32.2,22.4,7.8,17.9,43.5,3,7.3,41.6,3.9,4.8,81
Russell Westbrook,G,HOU,17,17,33.2,22.1,8.1,19.1,42.6,1.2,5.3,23.3,4.6,6.4,72.2
CJ McCollum,SG,POR,20,20,36.8,22,8.8,20,43.9,2.6,6.7,38.1,1.8,2.2,82.2
Kyle Lowry,PG,TOR,8,8,36.1,21.8,6.8,14.1,47.8,3.6,8.5,42.6,4.6,5.2,88.1
Lou Williams,SG,LAC,21,3,31.6,21.7,6.9,16.1,42.9,1.9,5,37.5,6,7.1,84.7
DeMar DeRozan,SG,SA,21,21,33.6,21.6,8.3,15.9,52.6,0.1,0.4,25,4.9,6,81.6
Kemba Walker,PG,BOS,18,18,32.3,21.6,6.9,17.3,40.2,3.4,8.8,38.6,4.3,4.8,90.7
Jayson Tatum,PF,BOS,19,19,34.6,21.1,7.6,18.6,41.1,2.4,6.5,36.6,3.4,4.2,82.3
Bojan Bogdanovic,SF,UTA,20,20,33.1,20.9,7.2,15.3,47.4,3,6.8,44.9,3.4,3.8,87
Buddy Hield,SG,SAC,19,19,33.7,20.8,7.4,17.8,41.7,3.8,10.4,36.5,2.2,2.5,87.2
Spencer Dinwiddie,PG,BKN,20,9,29.1,20.6,6.6,15.6,42.2,2,6.2,32.5,5.4,6.2,87.2
Stephen Curry,PG,GS,4,4,28,20.2,6.8,16.5,40.9,2.2,9.2,24.3,4.5,4.5,100
Malcolm Brogdon,PG,IND,17,17,31.8,19.4,7.1,14.8,48,1.4,4.3,32.9,3.7,3.9,95.5
Jrue Holiday,PG,NO,18,18,36.2,19.4,7.7,17.4,44.1,1.9,5.4,35.7,2.1,2.7,79.2
Jaylen Brown,SG,BOS,16,16,33.4,19.2,7.3,14.8,49.4,1.8,5,36.2,2.8,3.9,71.4
Evan Fournier,SG,ORL,19,19,30.7,19.2,6.6,13.9,47.7,2.6,6.1,42.6,3.3,3.9,85.1
Gordon Hayward,SF,BOS,8,8,31.1,18.9,7.6,13.8,55.5,1.6,3.8,43.3,2,2.4,84.2
LaMarcus Aldridge,PF,SA,20,20,32.8,18.8,7.6,14.8,51.7,0.6,1.6,35.5,3,3.6,83.3
Jimmy Butler,SF,MIA,15,15,33.4,18.8,5.3,12.9,41.5,0.7,2.8,23.8,7.5,8.6,86.8
Montrezl Harrell,PF,LAC,21,2,29.7,18.8,7.8,13.2,59,0,0.4,0,3.1,4.8,65.3
Marcus Morris,SF,NY,19,19,33.1,18.7,6,14.2,42.4,2.8,5.4,52.4,3.8,4.6,83.9
Ja Morant,PG,MEM,17,17,28.7,18.6,6.9,15.2,45.7,0.9,2.3,41,3.8,5,76.5
Fred VanVleet,SG,TOR,19,19,37.5,18.6,6,14.6,41,2.7,6.8,40,3.9,4.4,88.1
Danilo Gallinari,SF,OKC,19,19,29.9,18.5,5.5,12.4,44.5,2.8,6.6,42.1,4.6,5.1,91.7
Blake Griffin,PF,DET,8,8,29,18.5,6.1,14.6,41.9,1.4,5.8,23.9,4.9,6.1,79.6
Jamal Murray,PG,DEN,17,17,33.2,18.5,7.1,16.2,43.6,1.9,5.4,34.8,2.5,2.8,89.6
Tobias Harris,SF,PHI,21,21,34.2,18.4,7.3,14.9,48.9,1.2,4.2,29.5,2.6,3.4,77.5
Domantas Sabonis,PF,IND,18,18,34.1,18.4,7.3,14.2,51.2,0.3,1.2,23.8,3.6,4.5,80.2
