starting_year,rank,team,home_total_games,home_total_attendance,home_avg_attendance,home_capactiy,away_total_games,away_total_attendance,away_avg_attendance,away_capactiy
2015,1,Bulls,41,894659,21820,104.3,41,18156,94.5,82
2015,2,Cavaliers,41,843042,20562,100,41,18910,98.2,82
2015,3,Mavericks,41,825901,20143,104.9,41,17727,93.4,82
2015,4,Raptors,41,812863,19825,100.1,41,17162,89.2,82
2015,5,NY Knicks,41,812292,19812,100,41,18440,96,82
2015,6,Heat,41,809350,19740,100.7,41,18044,93.9,82
2015,7,Warriors,41,803436,19596,100,41,19134,100.5,82
2015,8,Trail Blazers,41,794085,19367,99.6,41,17703,93.3,82
2015,9,Jazz,41,791489,19304,97,41,17378,91.6,82
2015,10,Clippers,41,786910,19192,100.7,41,17792,93.6,82
2015,11,Lakers,41,778877,18997,99.7,41,19149,100.9,82
2015,12,Spurs,41,756445,18449,99.3,41,17938,94.4,82
2015,13,Celtics,41,749076,18270,98.1,41,17439,90.5,82
2015,14,Thunder,41,746323,18203,100,41,18258,95.6,82
2015,15,Rockets,41,737244,17981,99.7,41,17740,93.3,82
2015,16,Wizards,41,725426,17693,87.3,41,17787,92.4,82
2015,17,Magic,41,719275,17543,93.1,41,17175,89.2,82
2015,18,Hornets,41,716894,17485,91.7,41,17784,92.4,82
2015,19,Kings,41,707526,17256,99.7,41,17355,91,82
2015,20,Suns,41,701405,17107,92.9,41,16881,88.7,82
2015,21,Pacers,41,690733,16847,92.7,41,17851,92.3,82
2015,22,Hawks,41,690150,16832,89.9,41,17611,91,82
2015,23,Pelicans,41,688549,16793,97.7,41,17851,93.6,82
2015,24,Grizzlies,41,684603,16697,92.2,41,17589,92.1,82
2015,25,Pistons,41,677138,16515,74.8,41,17814,93,82
2015,26,Bucks,41,621808,15166,81,41,17623,91.4,82
2015,27,Nets,41,620142,15125,83.6,41,18106,93.6,82
2015,28,76ers,41,610121,14881,73.2,41,17491,90.7,82
2015,29,Timberwolves,41,581178,14175,73.2,41,17831,94,82
