RK,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
1,Bulls,41,851824,20776,99.3,41,18030,94.4,82,19403,97
2,Cavaliers,41,843042,20562,100,41,19071,99.5,82,19825,99.8
3,76ers,41,833503,20329,100,41,18012,93.6,82,19185,96.9
4,Raptors,41,813431,19839,100.2,41,17673,92,82,18756,96.2
5,Mavericks,41,811453,19791,103.1,41,17374,91.5,82,18597,97.4
6,Heat,41,785250,19631,100.2,41,18177,94.5,82,18895,97.3
7,Warriors,41,803436,19596,100,41,18884,99.6,82,19240,99.8
8,Trail Blazers,41,795328,19398,99.8,41,17556,92.7,82,18477,96.3
9,NY Knicks,41,792608,19331,97.6,41,18179,94.8,82,18762,96.2
10,Lakers,41,776327,18934,99.3,41,18655,98.6,82,18796,99
11,Celtics,41,744960,18624,100,41,18588,96.5,82,18606,98.2
12,Spurs,41,754562,18403,99,41,18427,97.1,82,18415,98.1
13,Thunder,41,746323,18203,100,41,18866,99.2,82,18534,99.6
14,Wizards,41,718946,17973,88.6,41,17682,92.1,82,17826,90.3
15,Jazz,41,734806,17922,90,41,17495,92.5,82,17708,91.2
16,Rockets,41,716008,17900,99.2,41,18369,96.7,82,18137,97.9
17,Magic,41,715728,17893,94.9,41,17651,91.9,82,17770,93.4
18,Kings,41,649571,17555,100.3,41,17478,91.8,82,17515,95.7
19,Pistons,41,713945,17413,82.9,41,17959,93.7,82,17686,88.1
20,Nuggets,41,702796,17141,89.5,41,17871,94,82,17506,91.7
21,Timberwolves,41,699308,17056,89.9,41,17850,93.8,82,17453,91.9
22,Clippers,41,697812,17019,89.3,41,17735,93.7,82,17373,91.4
23,Suns,41,674655,16866,91.6,41,17610,92.4,82,17243,92
24,Bucks,41,685303,16714,89.3,41,18380,95.2,82,17547,92.3
25,Pelicans,41,673920,16437,95.6,41,17911,93.9,82,17174,94.7
26,Hornets,41,671404,16375,85.8,41,17623,91.6,82,16999,88.7
27,Pacers,41,658119,16051,88.4,41,17749,91.8,82,16889,90.1
28,Grizzlies,41,653863,15947,88,41,17348,91.2,82,16648,89.7
29,Nets,41,622278,15556,85.9,41,17687,91.8,82,16622,89
30,Hawks,41,590769,14409,76.9,41,17854,92.7,82,16088,84.7
