Round Number,Date,Location,Home Team,Away Team,Result
1,22/10/2019 20:00,Scotiabank Arena,Toronto Raptors,New Orleans Pelicans,130 - 122
1,22/10/2019 22:30,Staples Center,LA Clippers,Los Angeles Lakers,112 - 102
1,23/10/2019 19:00,Spectrum Center,Charlotte Hornets,Chicago Bulls,126 - 125
1,23/10/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Detroit Pistons,110 - 119
1,23/10/2019 19:00,Amway Center,Orlando Magic,Cleveland Cavaliers,94 - 85
1,23/10/2019 19:30,Barclays Center,Brooklyn Nets,Minnesota Timberwolves,126 - 127
1,23/10/2019 19:30,AmericanAirlines Arena,Miami Heat,Memphis Grizzlies,120 - 101
1,23/10/2019 19:30,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,107 - 93
1,23/10/2019 20:30,American Airlines Center,Dallas Mavericks,Washington Wizards,108 - 100
1,23/10/2019 20:30,AT&T Center,San Antonio Spurs,New York Knicks,120 - 111
1,23/10/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Oklahoma City Thunder,100 - 95
1,23/10/2019 22:00,Talking Stick Resort Arena,Phoenix Suns,Sacramento Kings,124 - 95
1,23/10/2019 22:00,Moda Center,Portland Trail Blazers,Denver Nuggets,100 - 108
1,24/10/2019 19:00,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,100 - 117
1,24/10/2019 20:00,Toyota Center,Houston Rockets,Milwaukee Bucks,111 - 117
1,24/10/2019 22:30,Chase Center,Golden State Warriors,LA Clippers,122 - 141
1,25/10/2019 19:00,TD Garden,Boston Celtics,Toronto Raptors,
1,25/10/2019 19:00,Spectrum Center,Charlotte Hornets,Minnesota Timberwolves,
1,25/10/2019 19:30,Barclays Center,Brooklyn Nets,New York Knicks,
1,25/10/2019 20:00,FedExForum,Memphis Grizzlies,Chicago Bulls,
1,25/10/2019 20:00,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,
1,25/10/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Washington Wizards,
1,25/10/2019 21:00,Pepsi Center,Denver Nuggets,Phoenix Suns,
1,25/10/2019 22:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,
1,25/10/2019 22:30,Staples Center,Los Angeles Lakers,Utah Jazz,
1,26/10/2019 17:00,Fiserv Forum,Milwaukee Bucks,Miami Heat,
1,26/10/2019 19:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,
