"TEAM_ID","TEAM_NAME","GP","W","L","W_PCT","MIN","E_OFF_RATING","OFF_RATING","E_DEF_RATING","DEF_RATING","E_NET_RATING","NET_RATING","AST_PCT","AST_TO","AST_RATIO","OREB_PCT","DREB_PCT","REB_PCT","TM_TOV_PCT","EFG_PCT","TS_PCT","E_PACE","PACE","PACE_PER40","POSS","PIE","GP_RANK","W_RANK","L_RANK","W_PCT_RANK","MIN_RANK","OFF_RATING_RANK","DEF_RATING_RANK","NET_RATING_RANK","AST_PCT_RANK","AST_TO_RANK","AST_RATIO_RANK","OREB_PCT_RANK","DREB_PCT_RANK","REB_PCT_RANK","TM_TOV_PCT_RANK","EFG_PCT_RANK","TS_PCT_RANK","PACE_RANK","PIE_RANK","CFID","CFPARAMS"
1610612751,"Brooklyn Nets",2,1,1,0.500000,101.0,105.6,105.3,101.9,103.1,3.7,2.2,0.471,0.95,13.7,0.245,0.741,0.5,0.185,0.561,0.582,108.8,108.36,90.3,227,0.507,1,5,11,11,1,16,14,14,27,27,24,19,19,17,27,4,8,7,13,10,"Brooklyn Nets"
1610612766,"Charlotte Hornets",2,1,1,0.500000,96.0,106.4,106.6,114.2,117.1,-7.9,-10.5,0.659,1.38,18.8,0.242,0.633,0.447,0.185,0.578,0.591,106.7,105.25,87.71,211,0.436,1,5,11,11,7,14,29,27,6,16,5,20,30,30,26,2,5,11,26,10,"Charlotte Hornets"
1610612741,"Chicago Bulls",2,1,1,0.500000,96.0,109.2,111.9,108.1,108.1,1.0,3.8,0.483,1.65,14.9,0.327,0.706,0.507,0.124,0.503,0.538,106.5,105.25,87.71,210,0.505,1,5,11,11,7,4,23,11,25,12,21,3,26,12,4,17,18,11,14,10,"Chicago Bulls"
1610612739,"Cleveland Cavaliers",1,0,1,0.000000,48.0,84.5,83.3,93.7,92.2,-9.2,-8.8,0.606,1.25,14.9,0.224,0.833,0.518,0.157,0.426,0.449,100.5,102.0,85.0,102,0.454,21,22,11,22,21,30,4,26,14,20,19,22,3,6,15,30,30,23,22,10,"Cleveland Cavaliers"
1610612742,"Dallas Mavericks",2,2,0,1.000000,96.0,110.5,111.1,101.2,103.8,9.4,7.2,0.5,1.29,14.9,0.227,0.726,0.495,0.149,0.547,0.592,105.6,104.0,86.67,208,0.546,1,1,1,1,7,5,16,9,22,19,22,21,23,20,11,6,4,13,10,10,"Dallas Mavericks"
1610612743,"Denver Nuggets",2,2,0,1.000000,101.0,100.1,102.4,97.5,99.5,2.6,2.9,0.643,1.32,16.0,0.255,0.718,0.479,0.161,0.477,0.538,101.7,99.56,82.97,211,0.534,1,1,1,1,1,19,9,12,9,18,15,18,25,26,17,20,19,27,11,10,"Denver Nuggets"
1610612765,"Detroit Pistons",2,1,1,0.500000,96.0,109.4,110.1,110.8,112.9,-1.4,-2.9,0.605,1.44,17.1,0.264,0.734,0.503,0.161,0.531,0.585,101.3,100.0,83.33,199,0.481,1,5,11,11,7,9,25,19,15,14,10,12,21,15,16,9,7,26,18,10,"Detroit Pistons"
1610612744,"Golden State Warriors",1,0,1,0.000000,48.0,110.7,113.0,127.9,133.0,-17.2,-20.1,0.692,2.08,17.3,0.344,0.818,0.511,0.12,0.47,0.544,110.2,107.0,89.17,108,0.406,21,22,11,22,21,3,30,30,2,2,9,2,5,10,3,24,17,9,29,10,"Golden State Warriors"
1610612745,"Houston Rockets",1,0,1,0.000000,48.0,99.9,101.8,104.5,107.3,-4.7,-5.5,0.758,1.79,16.9,0.219,0.845,0.516,0.128,0.456,0.518,111.5,109.0,90.83,109,0.453,21,22,11,22,21,21,21,22,1,7,12,25,2,7,6,27,23,5,23,10,"Houston Rockets"
1610612754,"Indiana Pacers",1,0,1,0.000000,48.0,105.2,106.8,118.4,115.5,-13.2,-8.7,0.634,1.73,18.3,0.26,0.725,0.467,0.146,0.506,0.552,102.5,103.0,85.83,103,0.43,21,22,11,22,21,13,28,25,10,10,7,13,24,28,9,15,14,20,28,10,"Indiana Pacers"
