"TEAM_ID","TEAM_NAME","GP","W","L","W_PCT","MIN","PCT_FGA_2PT","PCT_FGA_3PT","PCT_PTS_2PT","PCT_PTS_2PT_MR","PCT_PTS_3PT","PCT_PTS_FB","PCT_PTS_FT","PCT_PTS_OFF_TOV","PCT_PTS_PAINT","PCT_AST_2PM","PCT_UAST_2PM","PCT_AST_3PM","PCT_UAST_3PM","PCT_AST_FGM","PCT_UAST_FGM","GP_RANK","W_RANK","L_RANK","W_PCT_RANK","MIN_RANK","PCT_FGA_2PT_RANK","PCT_FGA_3PT_RANK","PCT_PTS_2PT_RANK","PCT_PTS_2PT_MR_RANK","PCT_PTS_3PT_RANK","PCT_PTS_FB_RANK","PCT_PTS_FT_RANK","PCT_PTS_OFF_TOV_RANK","PCT_PTS_PAINT_RANK","PCT_AST_2PM_RANK","PCT_UAST_2PM_RANK","PCT_AST_3PM_RANK","PCT_UAST_3PM_RANK","PCT_AST_FGM_RANK","PCT_UAST_FGM_RANK","CFID","CFPARAMS"
1610612751,"Brooklyn Nets",2,1,1,0.500000,50.5,0.603,0.397,0.452,0.059,0.389,0.172,0.159,0.188,0.393,0.333,0.667,0.71,0.29,0.471,0.529,2,7,10,10,1,21,10,23,21,6,11,20,8,22,29,2,25,6,28,3,10,"Brooklyn Nets"
1610612766,"Charlotte Hornets",2,1,1,0.500000,48.0,0.576,0.424,0.418,0.036,0.467,0.173,0.116,0.129,0.382,0.511,0.489,0.857,0.143,0.659,0.341,2,7,10,10,9,25,6,26,27,1,8,30,26,25,15,16,10,20,6,25,10,"Charlotte Hornets"
1610612741,"Chicago Bulls",2,1,1,0.500000,48.0,0.636,0.364,0.579,0.026,0.268,0.196,0.153,0.196,0.553,0.412,0.588,0.714,0.286,0.483,0.517,2,7,10,10,9,16,15,6,28,21,4,23,6,1,21,10,24,7,26,5,10,"Chicago Bulls"
1610612739,"Cleveland Cavaliers",1,0,1,0.000000,48.0,0.614,0.386,0.565,0.071,0.318,0.118,0.118,0.129,0.494,0.542,0.458,0.778,0.222,0.606,0.394,24,22,10,22,9,19,12,8,16,15,18,26,25,7,10,21,19,11,14,17,10,"Cleveland Cavaliers"
1610612742,"Dallas Mavericks",2,2,0,1.000000,48.0,0.55,0.45,0.476,0.078,0.325,0.182,0.199,0.165,0.398,0.382,0.618,0.76,0.24,0.5,0.5,2,1,1,1,9,28,3,21,13,13,6,8,13,20,25,6,21,10,23,7,10,"Dallas Mavericks"
1610612743,"Denver Nuggets",2,2,0,1.000000,50.5,0.659,0.341,0.417,0.093,0.347,0.111,0.236,0.162,0.324,0.511,0.489,0.88,0.12,0.643,0.357,2,1,1,1,1,12,19,27,9,10,20,4,15,29,14,17,8,23,8,23,10,"Denver Nuggets"
1610612765,"Detroit Pistons",3,1,2,0.333000,48.0,0.665,0.335,0.533,0.121,0.264,0.079,0.203,0.152,0.412,0.455,0.545,0.897,0.103,0.564,0.436,1,7,25,21,9,10,21,14,5,23,26,7,20,17,17,13,6,25,19,12,10,"Detroit Pistons"
1610612744,"Golden State Warriors",1,0,1,0.000000,48.0,0.576,0.424,0.393,0.066,0.369,0.205,0.238,0.164,0.328,0.583,0.417,0.867,0.133,0.692,0.308,24,22,10,22,9,24,7,29,18,7,3,3,14,28,5,26,9,22,2,29,10,"Golden State Warriors"
1610612745,"Houston Rockets",1,0,1,0.000000,48.0,0.467,0.533,0.306,0.0,0.432,0.243,0.261,0.09,0.306,0.824,0.176,0.688,0.313,0.758,0.242,24,22,10,22,9,30,1,30,30,2,2,1,30,30,1,30,27,4,1,30,10,"Houston Rockets"
1610612754,"Indiana Pacers",1,0,1,0.000000,48.0,0.764,0.236,0.6,0.145,0.218,0.073,0.182,0.155,0.455,0.606,0.394,0.75,0.25,0.634,0.366,24,22,10,22,9,1,30,2,1,29,28,14,17,12,4,27,22,9,9,22,10,"Indiana Pacers"
1610612746,"LA Clippers",2,2,0,1.000000,48.0,0.609,0.391,0.498,0.103,0.344,0.162,0.158,0.154,0.395,0.476,0.524,0.931,0.069,0.62,0.38,2,1,1,1,9,20,11,20,6,11,12,21,18,21,16,15,5,26,10,21,10,"LA Clippers"
1610612747,"Los Angeles Lakers",2,1,1,0.500000,48.0,0.655,0.345,0.508,0.102,0.32,0.091,0.173,0.198,0.406,0.38,0.62,0.952,0.048,0.549,0.451,2,7,10,10,9,13,18,17,7,14,25,17,5,19,26,4,3,28,20,11,10,"Los Angeles Lakers"
1610612763,"Memphis Grizzlies",2,0,2,0.000000,48.0,0.667,0.333,0.611,0.059,0.222,0.177,0.167,0.172,0.552,0.548,0.452,0.8,0.2,0.597,0.403,2,22,25,22,9,8,22,1,20,28,7,19,11,2,8,23,16,14,15,16,10,"Memphis Grizzlies"
1610612748,"Miami Heat",2,2,0,1.000000,50.5,0.667,0.333,0.502,0.072,0.275,0.092,0.223,0.203,0.43,0.54,0.46,0.739,0.261,0.593,0.407,2,1,1,1,1,8,22,18,15,20,24,5,4,15,11,20,23,8,17,14,10,"Miami Heat"
1610612749,"Milwaukee Bucks",2,1,1,0.500000,50.5,0.482,0.518,0.444,0.082,0.407,0.173,0.148,0.152,0.362,0.407,0.593,0.939,0.061,0.609,0.391,2,7,10,10,1,29,2,24,12,4,9,24,19,26,22,9,4,27,13,18,10,"Milwaukee Bucks"
1610612750,"Minnesota Timberwolves",2,2,0,1.000000,50.5,0.593,0.407,0.516,0.048,0.302,0.065,0.181,0.149,0.468,0.516,0.484,0.8,0.2,0.596,0.404,2,1,1,1,1,22,9,16,25,16,30,15,21,10,13,18,16,14,16,15,10,"Minnesota Timberwolves"
1610612740,"New Orleans Pelicans",2,0,2,0.000000,50.5,0.57,0.43,0.454,0.067,0.429,0.118,0.118,0.155,0.387,0.556,0.444,0.882,0.118,0.682,0.318,2,22,25,22,1,26,5,22,17,3,18,26,16,24,7,24,7,24,4,27,10,"New Orleans Pelicans"
1610612752,"New York Knicks",2,0,2,0.000000,48.0,0.686,0.314,0.5,0.091,0.368,0.191,0.132,0.245,0.409,0.327,0.673,0.852,0.148,0.5,0.5,2,22,25,22,9,5,26,19,11,8,5,25,1,18,30,1,12,19,23,7,10,"New York Knicks"
1610612760,"Oklahoma City Thunder",2,0,2,0.000000,48.0,0.699,0.301,0.556,0.133,0.25,0.078,0.194,0.106,0.422,0.38,0.62,0.667,0.333,0.446,0.554,2,22,25,22,9,3,28,10,2,24,27,11,29,16,26,4,29,2,29,2,10,"Oklahoma City Thunder"
1610612753,"Orlando Magic",1,1,0,1.000000,48.0,0.651,0.349,0.596,0.064,0.287,0.149,0.117,0.117,0.532,0.607,0.393,0.778,0.222,0.649,0.351,24,7,1,1,9,14,17,3,19,18,16,28,28,3,3,28,19,11,7,24,10,"Orlando Magic"
1610612755,"Philadelphia 76ers",2,2,0,1.000000,48.0,0.634,0.366,0.527,0.045,0.268,0.094,0.205,0.188,0.482,0.576,0.424,1.0,0.0,0.684,0.316,2,1,1,1,9,17,14,15,26,22,22,6,9,8,6,25,1,29,3,28,10,"Philadelphia 76ers"
1610612756,"Phoenix Suns",2,1,1,0.500000,50.5,0.668,0.332,0.554,0.052,0.247,0.16,0.199,0.212,0.502,0.625,0.375,0.842,0.158,0.675,0.325,2,7,10,10,1,7,24,11,23,25,13,8,3,6,2,29,13,18,5,26,10,"Phoenix Suns"
1610612757,"Portland Trail Blazers",2,1,1,0.500000,48.0,0.663,0.337,0.577,0.126,0.243,0.072,0.18,0.189,0.45,0.406,0.594,0.556,0.444,0.439,0.561,2,7,10,10,9,11,20,7,4,26,29,16,7,13,23,8,30,1,30,1,10,"Portland Trail Blazers"
1610612758,"Sacramento Kings",2,0,2,0.000000,48.0,0.621,0.379,0.444,0.097,0.362,0.101,0.193,0.13,0.348,0.37,0.63,0.68,0.32,0.479,0.521,2,22,25,22,9,18,13,24,8,9,21,12,24,27,28,3,28,3,27,4,10,"Sacramento Kings"
1610612759,"San Antonio Spurs",1,1,0,1.000000,48.0,0.747,0.253,0.583,0.133,0.175,0.25,0.242,0.133,0.45,0.429,0.571,1.0,0.0,0.524,0.476,24,7,1,1,9,2,29,5,2,30,1,2,23,14,19,12,1,29,21,10,10,"San Antonio Spurs"
1610612761,"Toronto Raptors",2,1,1,0.500000,50.5,0.58,0.42,0.398,0.008,0.407,0.131,0.195,0.127,0.39,0.426,0.574,0.781,0.219,0.57,0.43,2,7,10,10,1,23,8,28,29,5,17,10,27,23,20,11,18,13,18,13,10,"Toronto Raptors"
1610612762,"Utah Jazz",2,1,1,0.500000,48.0,0.694,0.306,0.591,0.075,0.226,0.172,0.183,0.145,0.516,0.4,0.6,0.857,0.143,0.493,0.507,2,7,10,10,9,4,27,4,14,27,10,13,22,4,24,7,10,20,25,6,10,"Utah Jazz"
1610612764,"Washington Wizards",2,1,1,0.500000,48.0,0.568,0.432,0.548,0.091,0.335,0.152,0.117,0.173,0.457,0.537,0.463,0.818,0.182,0.618,0.382,2,7,10,10,9,27,4,12,10,12,15,29,10,11,12,19,14,16,11,20,10,"Washington Wizards"
